,name,rating,reviews,domain,location,years_old,employee_strength,tags,about
59,PayTM,4.0,2.1k,Private,Noida + 174 more,10 years old,10000+ employees,"Internet, Startup","Paytm is India's largest leading payment gateway that offers comprehensive payment services for customer and merchants. We offer mobile payment solutions to over 7 million merchants and allow consumers to make seamless mobile payments from Cards, Bank Accounts and Digital Credit among others. We pioneered and are the leader of QR based mobile payments in India. With the launch of Paytm Payments Bank, we aim to bring banking and financial services to half-a-billion un-served and under-served Indians. Our investors include Softbank, SAIF Partners, Alibaba Group and Ant Financial. We strive to maintain an open culture where everyone is a hands-on contributor and feels comfortable sharing ideas and opinions. Our team spends hours, designing each new feature and obsesses about the smallest of details."
60,Deloitte,3.9,2k,Private,New York + 29 more,175 years old,10000+ employees,"Consulting, MNC","Deloitte drives progress. Our firms around the world help clients become leaders wherever they choose to compete. Deloitte invests in outstanding people of diverse talents and backgrounds and empowers them to achieve more than they could elsewhere. Our work combines advice with action and integrity. We believe that when our clients and society are stronger, so are we. 

Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited (“DTTL”), its global network of member firms, and their related entities. DTTL (also referred to as “Deloitte Global”) and each of its member firms are legally separate and independent entities. DTTL does not provide services to clients. Please see www.deloitte.com/about to learn more."
61,Nokia,4.4,2k,Private,Espoo + 142 more,155 years old,10000+ employees,"Manufacturing, Electronics, MNC","We develop and deliver the industry's only end-to-end portfolio of network equipment, software, services and licensing that is available globally. 

Our customers include service providers whose combined networks support 6.1 billion subscriptions, as well as enterprises in the private and public sector that use our network portfolio to increase productivity and enrich lives. We also serve consumers with technology and devices. 

Through our research teams, including the world-renowned Nokia Bell Labs, we are leading the world to adopt end-to-end 5G networks that are faster, more secure and capable of revolutionizing lives, economies and societies. Nokia adheres to the highest ethical business standards as we create technology with social purpose, quality and integrity."
62,Hindustan Unilever,4.4,2k,Public,London + 220 more,91 years old,10000+ employees,"Consumer goods, Food & Beverages, Manufacturing, Fortune500, MNC","We make products that people love – and that make a difference.

Nutritious foods. Household care essentials. Indulgent ice creams. Refreshing teas. Luxurious shampoos. Affordable, disease-combating soaps... and many more.

In fact, we make around 400 much-loved brands. Shoppers buy them in more than 190 countries.

That means you’ll find at least one of our products in seven out of ten households on the planet. And we want every one of those products to make a positive impact on the lives of the people who buy them."
63,Wipro Infotech,3.9,2k,Private,Bangalore + 106 more,75 years old,10000+ employees,"IT/ITES, MNC","Wipro Infotech, a division of the US $6 billion Wipro Limited, provides enterprise customers with high value Information Technology Products, Software Services, Solutions and Consulting Services in India and the Middle East. Headquartered at Bangalore, Wipro Infotech serves customers in India through a network of 22 offices and 170 service locations across the country. It also has regional offices across the Middle East serving the region."
64,Wipro BPS,3.8,1.9k,,Bengaluru + 22 more,20 years old,10000+ employees,"BPO/KPO, IT/ITES","Wipro BPS is an outsourcing arm of Wipro Limited that provides next generation business process services to global enterprises. BPS is nothing but Business Process Services. The services are spread to the domain such as Telecom, Media, Aviation, Technology, Retail, Banking, Financial Services, Manufacturing, Healthcare, Pharma, Insurance, Energy & Utilities and Travel & Transportation."
65,Shriram Transport Financ...,4.1,1.9k,Public,Mumbai + 408 more,41 years old,10000+ employees,"Financial Services, Fortune500, Conglomerate","We are a part of the “SHRIRAM” conglomerate which has significant presence in financial services viz., commercial vehicle financing business, consumer finance, life and general insurance, stock broking, chit funds and distribution of financial products such as life and general insurance products and units of mutual funds.

Our Company was incorporated in the year 1979 and is registered as a Deposit taking NBFC with Reserve Bank of India under section 45IA of the Reserve Bank of India Act, 1934.

STFC decided to finance the much neglected Small Truck Owner. Shriram understood the power of ‘Aspiration’ much before marketing based on ‘Aspiration’ became fashionable. Shriram started lending to the Small Truck Owner to buy new trucks. But we found a mismatch between the Aspiration and Ability. The Truck Operator was honest but the Equity at his command was not sufficient to support the credit levels required to buy a new truck.

We did not have the heart to send the Truck Operator back empty handed; we decided to fund Pre-owned Trucks. This was the most momentous decision that we made. What followed was Sheer magic.

From Driver to Owner, even if only of a Pre-owned Truck and from Pre-owned Truck to the New Truck, we have been with him in his journey of Prosperity as he has been our partner in our road to success and leadership."
66,Ashok Leyland,4.3,1.9k,Public,Chennai + 129 more,72 years old,10000+ employees,"Automobile, Manufacturing, MNC, Fortune500","Ashok Leyland, flagship of the Hinduja group, is the 2nd largest manufacturer of commercial vehicles in India, the 4th largest manufacturer of buses in the world, and the 10th largest manufacturers of trucks.

Headquartered in Chennai, 9 manufacturing plants gives an international footprint - 7 in India, a bus manufacturing facility in Ras Al Khaimah (UAE), one at Leeds, United Kingdom and a joint venture with the Alteams Group for the manufacture of high-press die-casting extruded aluminum components for the automotive and telecommunications sectors, Ashok Leyland has a well-diversified portfolio across the automobile industry. Ashok Leyland has recently been ranked as 38th best brand in India."
67,Axis Securities,4.0,1.9k,Private,Mumbai + 225 more,15 years old,10000+ employees,Financial Services,"We are a part of the lineage of Axis Group and a proud subsidiary of Axis Bank – India’s 3rd largest private sector bank and the choice of more than 20 million clients. Making innovation and passion our motto, we have grown step-by-step in a short span of time. As the Axis Securities team, we are committed to provide the investment solutions and to offer a wide spectrum of Axis bank’s offerings to our customers."
68,Hyundai Motor,4.3,1.9k,Private,Seoul + 157 more,53 years old,10000+ employees,"Automobile, Machinery / Equipment, Manufacturing, Fortune500, MNC","Chung Ju-Yung founded the Hyundai Motor Company in 1947 as Hyundai Engineering and Construction Co. Hyundai Motor Co. (HMC), established in 1967, is the auto sales leader in the Korean domestic market and exports vehicles to 190 countries worldwide.

Hyundai Motor Co. operates the world’s largest integrated automobile manufacturing facility in Ulsan, located on Korea’s southeast coast. In 1996, Hyundai opened the Namyang Technology Research Center, which includes a complete testing facility with a 2.8-mile oval test track and a new $40 million aeroacoustic wind tunnel. That same year, HMC began production at its state-of-the-art Asan Plant, located southeast of Seoul.

Hyundai now operates eight research centers in Korea along with four international centers, including Hyundai America Technical Center, Inc., in Ann Arbor, MI, and Hyundai California Design Center in Fountain Valley, CA. Hyundai’s automotive technology centers employ approximately 4,100 researchers with an annual budget of five percent of current revenues. Current research projects include: electric-powered vehicles, low-emission gasoline engines, solar- powered vehicles, hydrogen-powered fuel cell vehicles and other alternative fuel vehicles.

The Hyundai California Design Center, established in 1990, creates and develops both production vehicles and cutting-edge design concepts for the automotive market. Several innovative vehicles have emerged from the design center including three concept roadsters, HCD-1, HCD-2, HCD-6, a hybrid sport utility vehicle, HCD-3, the CrossTour sport utility vehicle (HCD-5) and the HCD-7 luxury sedan. The influence of the California Design Center can be clearly seen in the sleek lines of the first generation Hyundai Tiburon sporty coupe and the Santa Fe sport utility vehicle."
69,Shapoorji Pallonji,4.3,1.9k,Private,Mumbai + 95 more,155 years old,10000+ employees,"Construction, Conglomerate","Since our inception in 1865, we have been committed to creating structures and providing solutions that have a lasting impact on society, using what we know best: engineering. We firmly believe that smart engineering can bring the world closer and make this planet a better place to live in. We are a well-diversified business house, with clients in over 60 countries, delivering complex and challenging projects for over 150 years. We operate in 6 major business areas with 13 group companies and a strong employee base of over 60,000 people from across 40+ nationalities. Above all, we are engineers at the core, committed to delivering projects and solutions globally with the help of breakthrough technology that will leave an impact for generations to come. We continue to leverage our culture of innovation, our deep engineering expertise and our state of the art Health Safety and Environment processes to help make everyday life better."
70,Sun Pharmaceutical Indus...,4.0,1.9k,Public,Mumbai + 100 more,37 years old,10000+ employees,"Healthcare/Pharma, Research & Development, MNC","Sun Pharma is the world's fifth largest generic pharmaceutical company and No. 1 in India. We provide high-quality, affordable medicines trusted by customers and patients in over 100 countries. Sun Pharma's global presence is supported by more than 40 manufacturing facilities spread across 5 continents, R&D centres across the globe and a multi-cultural workforce comprising over 50 nationalities. Sun Pharma fosters excellence through innovation supported by strong R&D capabilities comprising around 2,000 scientists and R&D investments of over 7-8% of annual revenues."
71,Zydus Cadila,4.1,1.9k,Public,"Ahmedabad, India + 97 more",68 years old,10000+ employees,"Biotech & Life sciences, Healthcare/Pharma, MNC, Fortune500","Zydus Cadila, a leading Indian Pharmaceutical company is a fully integrated, global healthcare provider. With in-depth domain expertise in the field of healthcare, it has strong capabilities across the spectrum of the pharmaceutical value chain. From formulations to active pharmaceutical ingredients and animal healthcare products to wellness products, Zydus has earned a reputation amongst Indian pharmaceutical companies for providing comprehensive and complete healthcare solutions."
72,Vivo Smartphone,4.0,1.9k,Private,Dongguan + 226 more,11 years old,10000+ employees,"Manufacturing, Electronics, MNC","Vivo is a global smartphone manufacturer with production facilities and R&D centers in China (Dongguan, Shenzhen, Nanjing, Beijing, Hangzhou and Chongqing), India, Indonesia and the United States (Silicon Valley and San Diego). Over the years, Vivo has developed smartphone markets, with presence in China, India and Southeast Asia (Indonesia, Malaysia, Vietnam, Thailand, Myanmar and the Philippines). In 2017, Vivo will further expand to regions like Hong Kong, Macau, Taiwan, Southeast Asia, South Asia as well as the Middle East.

Vivo develops dynamic and stylish products for passionate, energetic young people. We focus on creating smartphones that provide customers with the ultimate experience in both mobile photography and Hi-Fi audio. Apart from smartphones, Vivo also develops various apps and internet tools which are seamlessly integrated into our products. In the future Vivo’s goal is to create a complete mobile internet ecosystem, comprehensively satisfying all user needs."
73,ITC,4.1,1.9k,Public,Kolkata + 121 more,110 years old,10000+ employees,"Consumer goods, FMCG, Manufacturing, Conglomerate, Fortune500","ITC is one of India's foremost private sector companies with a market capitalisation of US $ 52 billion and Gross Sales Value of US $ 10 billion. ITC has a diversified presence in FMCG, Hotels, Packaging, Paperboards & Specialty Papers and Agri-Business. ITC's aspiration to be an exemplar in sustainability practices is manifest in its status as the only company in the world, of its size and diversity, to be carbon, water and solid waste recycling positive. In addition, ITC's businesses and value chains create sustainable livelihoods for more than 6 million people, a majority of whom represent the poorest in rural India."
74,Apollo Hospitals,4.1,1.8k,Public,Chennai + 92 more,37 years old,10000+ employees,"Healthcare/Pharma, MNC, Fortune500","Apollo Hospitals was established in 1983 by Dr. Prathap C Reddy, renowned as the architect of modern healthcare in India. As the nation's first corporate hospital, Apollo Hospitals is acclaimed for pioneering the private healthcare revolution in the country.

Apollo Hospitals has emerged as Asia's foremost integrated healthcare services provider and has a robust presence across the healthcare ecosystem, including Hospitals, Pharmacies, Primary Care & Diagnostic Clinics and several retail health models. The Group also has Telemedicine facilities across several countries, Health Insurance Services, Global Projects Consultancy, Medical Colleges, Medvarsity for E-Learning, Colleges of Nursing and Hospital Management and a Research Foundation. In addition, 'ASK Apollo' - an online consultation portal and Apollo Home Health provide the care continuum."
75,UltraTech Cement,4.4,1.8k,Public,Mumbai + 200 more,37 years old,10000+ employees,"Construction, Manufacturing, Fortune500","UltraTech Cement Ltd. is the largest manufacturer of grey cement, Ready Mix Concrete (RMC) and white cement in India. It is also one of the leading cement producers globally. UltraTech as a brand embodies 'strength', 'reliability' and 'innovation'. Together, these attributes inspire engineers to stretch the limits of their imagination to create homes, buildings and structures that define the new India. The company has an installed capacity of 93 Million Tonnes Per Annum (MTPA) of grey cement. UltraTech Cement has 18 integrated plants, 1 clinkerisation plant, 25 grinding units and 7 bulk terminals. Its operations span across India, UAE, Bahrain, Bangladesh and Sri Lanka. UltraTech Cement is also India's largest exporter of cement reaching out to meet the demand in countries around the Indian Ocean and the Middle East."
76,Muthoot Fincorp,3.9,1.8k,Private,Kochi + 307 more,133 years old,10000+ employees,"Financial Services, Fortune500","Muthoot Fincorp Ltd., the flagship company of Muthoot Pappachan Group, is one of the largest NBFCs in India, registered with the Reserve Bank of India. Muthoot Fincorp has over 3500 branches across India with an average walk in of over 75,000 customers per day. The company has a diverse mix of retail offerings catering to the various needs of its customers including Gold Loans, Business Loans, Housing Loan, Auto Loans, Money Transfer, Foreign Exchange, Insurance Services and Wealth Management Services.

Muthoot Fincorp is a provider of mass finance in the form of gold loans. Decades of dedicated research and experience in rural strongholds have enabled the Company to provide quick and customised finance options and investment schemes for millions of customers who do not have access to mainstream commercial banks"
77,Mahindra & Mahindra Fina...,4.3,1.8k,,Mumbai + 342 more,29 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services","Mahindra Finance began as a captive financier of Mahindra Utility Vehicles in the early 90s. From Mahindra UVs to tractors to non-Mahindra products, the company has diversified into a financial services provider with a whole suite of financial solutions tailored to the under-served customer in under-penetrated rural markets.

Our product portfolio consists of vehicle finance, which includes financing of passenger vehicles, utility vehicles, tractors, commercial vehicles, construction equipment; and pre-owned vehicles and SME finance, which includes project finance, equipment finance, working capital finance and bill discounting services to SMEs. The company also undertakes mutual fund distribution, fixed deposits and personal loans tailor-made to suit its unique customer set.

With over 33,000 employees, Mahindra Finance has a presence in every state in India and a footprint in 85% of its districts. It serves customers in more than 3, 60,000 villages– that’s one in every two villages in the country."
78,NTT DATA,3.6,1.8k,Private,"Tokyo, JAPAN + 18 more",32 years old,10000+ employees,"IT/ITES, MNC","NTT DATA is your Innovation Partner anywhere around the world. Headquartered in Tokyo, with business operations in more than 50 countries and regions, we emphasize long-term commitment and combine global reach and local intimacy to provide premier professional services from consulting, system development to business IT outsourcing.

Since 1967, NTT DATA has played an instrumental role in establishing and advancing IT infrastructure. Originally part of Nippon Telegraph and Telephone Public Corporation, its heritage contributed to social benefits with a quality-first mindset. A public company since 1995, the company builds on this proven track record of innovation by providing novel IT solutions to bring results in a greater quality of life for people, communities, and societies around the world."
79,IIFL,3.8,1.8k,Public,Mumbai + 265 more,25 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services, Fortune500","IIFL is a financial services conglomerate which was started by a group of passionate entrepreneurs in 1995. The genesis of IIFL lies in the power of dreaming big and believing in your dreams.

IIFL was the pioneer in the retail broking industry with its launch of 5paisa trading platform which offered the lowest brokerage in the industry and the freedom from traditional ways of transacting. Our strength has been to continuously innovate and reinvent ourselves. IIFL’s evolution from an entrepreneurial start-up in 1995 to a full range diversified financial services group is a story of steady growth by adapting to the dynamic business environment, without losing focus on our core domain of financial services.

Today, IIFL Holdings Limited (Bloomberg Code: IIFL IN, NSE: IIFL, BSE: 532636) is India’s leading integrated financial services group with diverse operating businesses, mainly, Non Banking and Housing Finance, Wealth and Asset Management, Financial Advisory and Broking, Mutual Funds and Financial Product Distribution, Investment Banking, Institutional Equities, Realty Broking and Advisory Services.

IIFL serves more than 4 million satisfied customers across various business segments and is continuously building on its strengths to deliver excellent service to its expanding customer base."
80,IDFC FIRST Bank,4.0,1.8k,Public,Mumbai + 144 more,26 years old,5001-10000 employees,"Banking/Insurance/Accounting, Financial Services, Fortune500","IDFC FIRST Bank provides a range of financial solutions to individuals, small businesses and corporates. The Bank offers savings and current accounts, NRI accounts, salary accounts, demat accounts, fixed and recurring deposits, home and personal loans, small business loans, forex products, payment solutions and wealth management services. IDFC FIRST Bank has a nationwide presence and operates in the Retail Banking, Wholesale Banking and other banking segments. Customers can choose where and how they want to bank: 260 branches, 140 ATMs and 454 rural business correspondent centres across the country, net banking, mobile banking and 24/7 toll free Banker-on-Call service."
81,Dominos Pizza,4.2,1.8k,Public,Ann Arbor + 151 more,60 years old,10000+ employees,"Food & Beverages, Travel & Tourism / Hospitality, MNC","Founded in 1960, Domino's is the recognized world leader in pizza delivery, with a significant business in carryout pizza. It ranks among the world's top public restaurant brands with its global enterprise of more than 15,000 stores in over 85 international markets. Its system is made up of franchise owner-operators who accounted for over 97% of the Domino's stores."
82,Ujjivan Small Finance Ba...,4.1,1.7k,Public,Bengaluru + 227 more,3 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services","Ujjivan Small Finance Bank Limited is a mass market focused bank in India, catering to financially unserved and underserved segments and committed to building financial inclusion in the country. Our Promoter, Ujjivan Financial Services Limited (UFSL) commenced operations as an NBFC in 2005 with the mission to provide a full range of financial services to the ‘economically active poor’ who were not adequately served by financial institutions. On 7, October, 2015, UFSL received RBI In-Principle Approval to set up a Small Finance Bank(SFB), following which it incorporated Ujjivan Small Finance Bank Limited as a wholly-owned subsidiary. UFSL, subsequent to obtaining RBI Final Approval on November 11, 2016 to establish and carry on business as an SFB, transferred its business undertaking comprising of its lending and financing business to our Bank, which commenced its operations from 1, February, 2017. We are a ‘scheduled bank’ included in the Second Schedule to the Reserve Bank of India Act, 1934."
83,Bosch,4.2,1.7k,Public,Sttugart + 55 more,134 years old,10000+ employees,"Engineering, Fortune500","Bosch, is a German multinational engineering and electronics company headquartered in Gerlingen, near Stuttgart, Germany. It is the world's largest supplier of automotive components measured by 2011 revenues. The company was founded by Robert Bosch in Stuttgart in 1886. Bosch's core products are automotive components (including brakes, controls, electrical drives, electronics, fuel systems, generators, starter motors and steering systems), industrial products (including drives and controls, packaging technology and consumer goods) and building products (including household appliances, power tools, security systems and thermotechnology)."
84,TVS Motor,4.2,1.7k,Public,Hosur + 151 more,41 years old,5001-10000 employees,"Automobile, Manufacturing, Transportation, MNC, Fortune500","TVS Motor Company is the third largest two-wheeler manufacturer in India, with a revenue of 15129 Cr INR (2017-18). The company has an annual production capacity of 4 million 2 wheelers & 120,000 3 wheelers.
TVS Group spans across industries like Automobile, Aviation, Education, Electronics, Energy, Finance, Housing, Insurance, Investment, Logistics, Service and Textiles. Has over 90 Companies under the umbrella. TVS Group turnover including all key subsidiaries and associates is Rs. 59400 Cr for FY 2017-18, approximately USD 8.5 Billion."
85,UnitedHealth,4.1,1.7k,Private,Minnesota + 10 more,43 years old,10000+ employees,Healthcare/Pharma,UnitedHealth Group is the most diversified health care company in the United States and a leader worldwide in helping people live healthier lives and helping to make the health system work better for everyone.
86,EXL Service,3.8,1.7k,Private,"New York, USA + 15 more",21 years old,10000+ employees,"Consulting, IT/ITES, MNC","At EXL, we’re experts in more than analytics, operations management, and technology. We’re experts in you, and your industry. This gives us the context to look deeper to identify and capitalize on opportunities to outperform. We call it Digital Intelligence: the all-important combination of digital and domain knowledge, human and technology, coming together to create breakthrough results.

Digital Intelligence is why companies in the world’s most complex industries—from insurance to healthcare to transportation—bring us their toughest challenges, their seemingly impossible goals.  

Headquartered in New York, EXL has more than 30,000+ professionals in locations throughout the United States, Europe, Asia, Latin America, Australia and South Africa. We work as one committed team, with one overarching goal: to give our clients the power to transform—to move from playing catch-up to leading the pack. Because we’re not content to help our clients adapt to change. We embolden them to lead the change."
87,Wipro Enterprises Ltd,3.7,1.7k,,Bangalore + 41 more,75 years old,10000+ employees,IT/ITES,"Wipro Enterprises has Wipro Consumer Care and Lighting and Wipro Infrastructure Engineering under its umbrella. Wipro Consumer Care & Lighting is a leading FMCG business in Personal Care, Home Care, Lighting & Switches and Office Furniture. Wipro Infrastructure Engineering is a diversified engineering business in the fields of Hydraulics, Water Treatment, Additive Manufacturing, Aerospace and Automation Solutions.

Wipro Consumer Care and Lighting is among the fastest growing FMCG businesses in its operating geographies of Asia and the Middle East, with revenues of over Rs.7150 Crs. Its businesses include personal wash products, skincare products, male grooming products, toiletries, wellness products, household products, electrical wire devices, domestic and commercial Lighting and modular office furniture. It has a strong brand presence with significant market share across segments in India, South East Asia and the Middle East. In 2018-19 Wipro Consumer Care & Lighting, grew ahead of industry, to consolidate its position and market shares across geographies."
88,JBM Group,4.0,1.6k,Public,Gurugram + 50 more,37 years old,10000+ employees,"Machinery / Equipment, Manufacturing, Conglomerate","JBM Group is a focused and progressive conglomerate aiming to add value to our customers’business via its products, services and innovative solutions. The Group has a diversified portfolio with presence in multiple domains such as Automotive, Engineering & Design services, Renewable energy, Railways and OEM. JBM Group currently has an infrastructure of 40 manufacturing plants, 4 Engineering & Design centres across 18 locations globally. The multibillion dollar JBM Group has broadened its horizons by focusing on quality delivery, solutions approach, product development processes, flexible manufacturing systems and contract manufacturing.JBM Group comprising primarily of auto component division, caters services to esteemed clients that include Ashok Leyland, Bajaj Auto Ltd, Fiat, Ford, General Motors Corporation, Honda, Hero, JCB, Mahindra, Maruti Suzuki, Renault, Nissan, TATA, Toyota, TVS, Volvo-Eicher, Volkswagen and many more."
89,eClerx,3.7,1.6k,Public,Mumbai + 11 more,20 years old,5001-10000 employees,"Consulting, IT/ITES","​eClerx provides critical business operations services to over fifty global Fortune 500 clients, including some of the world’s leading companies across financial services, cable & telecom, retail, fashion, media & entertainment, manufacturing, travel & leisure, software and high-tech. Incorporated in 2000, eClerx is one of India’s leading process management and data analytics companies and is today traded on both the Bombay and National Stock Exchanges of India. eClerx employs 9,000 people across its global sites in the US, UK, India, Italy, Germany, Singapore, Thailand."
90,Aurobindo Pharma,4.1,1.6k,Public,Hyderabad + 26 more,34 years old,10000+ employees,"Healthcare/Pharma, Fortune500, MNC","Founded in 1986 by Mr. P.V. Ramprasad Reddy, Mr. K. Nityananda Reddy and a small group of highly committed professionals, Aurobindo Pharma was born of a vision. The company commenced operations in 1988-89 with a single unit manufacturing Semi-Synthetic Penicillin (SSP) at Pondicherry.

Aurobindo Pharma became a public company in 1992 and listed its shares on the Indian stock exchanges in 1995. In addition to being the market leader in Semi-Synthetic Penicillin’s, Aurobindo Pharma has a presence in key therapeutic segments such as neurosciences (CNS), cardiovascular (CVS), anti-retroviral, anti-diabetics, gastroenterology and Anti-biotics

Through cost effective manufacturing capabilities and a few loyal customers, the company also entered the high margin specialty generic formulations segment. Today Aurobindo Pharma has evolved into a knowledge driven company manufacturing active pharmaceutical ingredients and formulation products. It is R&D focused and has a multi-product portfolio with manufacturing facilities in several countries."
91,Hero MotoCorp,4.2,1.6k,Public,New Delhi + 170 more,36 years old,10000+ employees,"Automobile, Manufacturing, Fortune500, MNC","Hero MotoCorp is India's leading two wheeler company, which has been providing customers with an excellent range of two wheelers that ensure both style and comfort. The story of Hero MotoCorp can be traced back to the vision of a mobile and empowered India, powered by its two wheelers. Today, Hero MotoCorp has made it its mission to become the best two wheeler company, not only in India but globally by setting benchmarks in style, performance and technology."
92,NIIT Technologies,3.8,1.6k,Public,Noida + 101 more,16 years old,5001-10000 employees,"Computer Software, IT/ITES, Fortune500","NIIT Technologies is a leading global IT solutions organization servicing customers across the Americas, Europe, Asia and Australia. Differentiated on the strength of its industry expertise, NIIT Technologies services clients in travel and transportation, banking and financial services, insurance, manufacturing and media verticals, offering a range of services including Application<br/>Development and Maintenance, Infrastructure Management, and Business Process Management. Focused on Digital Services, the Company is helping businesses design agile, scalable and digital operating models. NIIT Technologies adheres to major global benchmarks and standards of quality and Information Security. For further information, please visit www.niit-tech.com."
93,Muthoot Group,3.8,1.6k,Public,New Delhi + 261 more,133 years old,10000+ employees,"Financial Services, Conglomerate","The Muthoot Group is a flourishing business empire that has pervaded into each and every big & small town of the country, is home to 20 diversified divisions and 4500 plus branches with a global presence. Over 2 Lakh customers visit The Muthoot Group branches every day. The Group has served over 60 crore customers (including repeat customers) till date. The story of The Muthoot Group is built on the foundations of passion, commitment, honesty, traditions and values. Our principle of continuous growth and expansion forms the essence of all our activities."
94,Simplex Infrastructures,3.8,1.5k,Public,Kolkata + 92 more,96 years old,5001-10000 employees,"Construction, Mining & Metals, Transportation, MNC, Fortune500","Simplex Infrastructures Ltd. is a diversified company established in 1924 and executing projects in several sectors like Transport, Energy & Power, Mining, Buildings, Marine, Real Estate etc.

Simplex is one of the construction leaders in India for nearly 90 years executing projects with consistent quality assurance, cost control and adherence to milestones in a safe environment as per the customer requirements. It promotes the culture of sharing rich and varied experience with staff members, as also with clients and thereby benefits and helps the growth of the construction fraternity and society at large.

The Company has been closely associated with the country’s infrastructure building with over 2600 completed projects spanning almost all the gamut of construction industry."
95,Cyient,3.6,1.5k,Public,Hyderabad + 20 more,29 years old,10000+ employees,"Engineering, IT/ITES, Manufacturing, MNC, Fortune500","From quieter flights and safer train rides to more reliable energy supply, we strive to provide comprehensive solutions that help our clients achieve their operational and business goals. To us, problems are an opportunity to use our extensive global experience and industry knowledge creatively to help our clients do more-we make them more capable, more flexible, and more competitive.  Founded in 1991, Cyient provides engineering, manufacturing, geospatial, network, and operations management services to global industry leaders. We deliver innovative solutions that add value to businesses through the deployment of robust processes and state-of-the-art technology. Our high quality products and services help clients leverage market opportunities and gain the competitive advantage.  To ensure streamlined efficiency and seamless operations, we have key centers at strategic locations across the globe."
96,Oracle,3.7,1.5k,Private,California + 23 more,43 years old,10000+ employees,"Computer Software, IT/ITES","Oracle is the world’s leading provider of business software. But you probably already knew that. With a presence in over 175 countries, we are one of the biggest technology companies in the world. What you might not know about us, is that we are leading a cloud revolution.

By delivering tomorrow’s emerging technologies, today, we are transforming the world of business, empowering governments, and helping society evolve with the pace of change. We are disrupting old standards. Revolutionizing industries. What we are doing, above all—is changing lives."
97,Mylan Laboratories,4.2,1.5k,Private,"Canonsburg,Pennsylvania + 37 more",59 years old,10000+ employees,"Healthcare/Pharma, MNC","Mylan’s history, mission and values tell the story of who we are as a company. We began more than 50 years ago as a pharmaceutical distributor, providing products to customers in rural communities.

Today, we’re one of the world’s leading pharmaceutical companies, with a significant and growing presence in India. We sell our products in approximately 165 countries and territories. What hasn’t changed is our dedication to providing access to high quality medicine."
98,Syntel,3.6,1.5k,Private,Troy + 11 more,40 years old,10000+ employees,"IT/ITES, MNC","Syntel was founded in 1980 by Bharat Desai and Neerja Sethi, and its history has been defined by evolution and innovation. From pioneering the global delivery model to implementing the latest digital solutions, we have evolved continuously to stay ahead of industry and technology trends.

In 2018, the next phase of our evolution took place, as Syntel joined forces with Atos to form Atos Syntel, uniting Atos’s scale, market presence and deep capabilities in infrastructure and data management, big data, cybersecurity, high-performance computing and digital workplace with Syntel’s industry focus, global delivery model, and core and digital services powered by intelligent automation."
99,Max Life Insurance,4.3,1.5k,Partnership,Gurugram + 185 more,20 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services","We are an honest life insurance company, committed to doing what is right.

We serve our customers through Long-Term Savings, Protection and Retirement Solutions, delivered by our high-quality Agency and Multi-Channel Distribution Partners

We are a business with strong social relevance and contribute to society by supporting causes in health and well-being."
100,Fidelity National Inform...,3.9,1.5k,Private,Florida + 19 more,52 years old,10000+ employees,"Financial Services, MNC","FIS is a leader in technology and services that helps businesses and communities thrive by advancing commerce and the financial world.

For over 50 years, FIS has continued to drive growth for clients around the world by creating tomorrow’s technology, solutions and services to modernize today’s businesses and customer experiences. By connecting merchants, banks and capital markets, we use our scale, apply our deep expertise and data-driven insights, innovate with purpose to solve for our clients’ future, and deliver experiences that are more simple, seamless and secure to advance the way the world pays, banks and invests.

Headquartered in Jacksonville, Florida, FIS employs more than 55,000 people across 50+ countries, dedicated to helping our clients be ahead of what’s next. FIS offers more than 450 solutions and processes over $75b of transactions around the planet. FIS is a Fortune 500® company and is a member of Standard & Poor’s 500® Index."
101,JP Morgan Chase,4.1,1.5k,Private,New York + 5 more,221 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services, Fortune500, MNC","JPMorgan Chase (NYSE: JPM) is one of the oldest financial institutions in the United States. With a history dating back over 200 years, here's where we stand today:

-We are a leading global financial services firm with assets of $2.6 trillion.
-We have a presence in over 100 markets.
-We have over 250,000 employees.
-We serve millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients.
-We are a leader in investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing and asset management.
-Our stock is a component of the Dow Jones Industrial Average."
102,Tata Teleservices,4.3,1.5k,Public,Mumbai + 143 more,24 years old,1001-5000 employees,"IT/ITES, Telecom/ISP","Tata Tele Business Services (TTBS), belonging to the prestigious Tata group of companies, is the country’s leading enabler of connectivity and communication solutions for businesses. With services ranging from connectivity, collaboration, cloud, security, IoT and marketing solutions, TTBS offers the largest portfolio of ICT services for businesses in India. Also, with fibre optic network running across 125,000 km., operations in over 60 cities, 1400+ partners and the largest team with 1200+ professionals, TTBS is well geared up to cater to the small, medium & large business community in India. TTBS strives to always get the best technology and services to businesses so that they can improve processes, reach customers more effectively, manage workforce more efficiently and Do Big. Focus on customer centricity and innovation has helped TTBS garner recognition from customers and peers alike."
